pc_time,elapsed_s,temperature_C,voltage_V
2026-09-01 17:10:29,0.0,23.8671,4.10529
2026-09-01 17:10:39,10.1,23.8750,4.10528
2026-09-01 17:10:49,20.2,23.8671,4.10529
2026-09-01 17:11:00,30.2,23.8671,4.10529
2026-09-01 17:11:09,39.9,23.8750,4.10144
2026-09-01 17:11:19,50.0,23.8671,4.09990
2026-09-01 17:11:29,60.1,23.8828,4.09907
2026-09-01 17:11:40,70.2,23.9218,4.09848
2026-09-01 17:11:50,80.3,23.9218,4.09798
2026-09-01 17:11:59,90.0,23.9531,4.09763
2026-09-01 17:12:09,100.1,23.9765,4.09721
2026-09-01 17:12:19,110.2,23.9921,4.09688
2026-09-01 17:12:30,120.2,24.0312,4.09650
2026-09-01 17:12:39,129.9,24.0546,4.09621
2026-09-01 17:12:49,140.0,24.0625,4.09589
2026-09-01 17:12:59,150.1,24.0781,4.09555
2026-09-01 17:13:10,160.2,24.0859,4.09528
2026-09-01 17:13:19,169.9,24.1171,4.09499
2026-09-01 17:13:29,180.0,24.1328,4.09470
2026-09-01 17:13:39,190.0,24.1640,4.09445
2026-09-01 17:13:49,200.1,24.1640,4.09413
2026-09-01 17:14:00,210.2,24.1875,4.09386
2026-09-01 17:14:09,219.9,24.2031,4.09365
2026-09-01 17:14:19,230.0,24.2031,4.09339
2026-09-01 17:14:29,240.1,24.2031,4.09314
2026-09-01 17:14:39,250.2,24.2421,4.09288
2026-09-01 17:14:49,259.8,24.2343,4.09262
2026-09-01 17:14:59,269.9,24.2265,4.09243
2026-09-01 17:15:09,280.0,24.2500,4.09214
2026-09-01 17:15:19,290.1,24.2734,4.09191
2026-09-01 17:15:29,299.8,24.2734,4.09168
2026-09-01 17:15:39,309.9,24.2656,4.09144
2026-09-01 17:15:49,320.0,24.2968,4.09122
2026-09-01 17:15:59,330.1,24.2812,4.09098
2026-09-01 17:16:09,340.1,24.2890,4.09076
2026-09-01 17:16:19,349.8,24.3046,4.09051
2026-09-01 17:16:29,359.9,24.3281,4.09031
2026-09-01 17:16:39,370.0,24.3281,4.09008
2026-09-01 17:16:49,380.1,24.3125,4.08984
