pc_time,elapsed_s,temperature_C,voltage_V
2026-09-02 09:53:54,0.0,22.4921,0.15919
2026-09-02 09:54:04,10.1,22.5000,0.15744
2026-09-02 09:54:14,20.2,22.5000,0.15649
2026-09-02 09:54:24,29.8,22.5000,0.15590
2026-09-02 09:54:34,39.9,22.5234,0.15538
2026-09-02 09:54:44,50.0,22.5078,0.15490
2026-09-02 09:54:54,60.1,22.5000,0.15447
2026-09-02 09:55:04,70.1,22.5078,0.15410
2026-09-02 09:55:14,80.2,22.5078,0.15378
2026-09-02 09:55:24,89.9,22.5156,0.15353
2026-09-02 09:55:34,100.0,22.5156,0.15332
2026-09-02 09:55:44,110.0,22.5078,0.15315
2026-09-02 09:55:54,120.1,22.5000,0.15298
2026-09-02 09:56:04,129.8,22.4843,0.15285
2026-09-02 09:56:14,139.9,22.5156,0.15276
2026-09-02 09:56:24,150.0,22.5078,0.15269
2026-09-02 09:56:34,160.0,22.5000,0.15262
2026-09-02 09:56:44,170.1,22.5078,0.15258
2026-09-02 09:56:54,180.2,22.5078,0.15254
2026-09-02 09:57:04,189.9,22.5078,0.15252
2026-09-02 09:57:14,199.9,22.5000,0.15252
2026-09-02 09:57:24,210.0,22.5000,0.15252
2026-09-02 09:57:34,220.1,22.5000,0.15252
2026-09-02 09:57:44,229.8,22.5078,0.15253
2026-09-02 09:57:54,239.9,22.5078,0.15252
2026-09-02 09:58:04,249.9,22.5078,0.15257
2026-09-02 09:58:14,260.0,22.4921,0.15263
2026-09-02 09:58:24,270.1,22.4921,0.15265
2026-09-02 09:58:34,279.8,22.5000,0.15266
2026-09-02 09:58:44,289.8,22.5078,0.15267
2026-09-02 09:58:54,299.9,22.5156,0.15271
2026-09-02 09:59:04,310.0,22.5000,0.15274
2026-09-02 09:59:14,320.1,22.5078,0.15279
2026-09-02 09:59:24,329.8,22.4921,0.15287
2026-09-02 09:59:34,339.8,22.5078,0.15295
2026-09-02 09:59:44,349.9,22.5078,0.15304
2026-09-02 09:59:54,360.0,22.5078,0.15314
2026-09-02 10:00:04,370.1,22.5000,0.15325
2026-09-02 10:00:14,379.7,22.5156,0.15334
2026-09-02 10:00:24,389.8,22.5000,0.15341
2026-09-02 10:00:34,399.9,22.5000,0.15346
2026-09-02 10:00:44,410.0,22.5000,0.15351
2026-09-02 10:00:54,420.0,22.5000,0.15352
2026-09-02 10:01:04,429.7,22.5000,0.15354
2026-09-02 10:01:14,439.8,22.5078,0.15359
2026-09-02 10:01:24,449.9,22.5000,0.15351
2026-09-02 10:01:34,460.0,22.4843,0.15328
2026-09-02 10:01:44,470.0,22.5000,0.15319
2026-09-02 10:01:54,479.7,22.4921,0.15313
2026-09-02 10:02:04,489.8,22.4921,0.15307
2026-09-02 10:02:14,499.9,22.5156,0.15301
2026-09-02 10:02:24,510.0,22.5078,0.15300
2026-09-02 10:02:34,519.6,22.5000,0.15295
2026-09-02 10:02:44,529.7,22.5156,0.15293
2026-09-02 10:02:54,539.8,22.5156,0.15288
2026-09-02 10:03:04,549.9,22.5000,0.15282
2026-09-02 10:03:14,559.9,22.5078,0.15277
2026-09-02 10:03:24,569.6,22.5078,0.15274
2026-09-02 10:03:34,579.7,22.5078,0.15271
2026-09-02 10:03:44,589.8,22.5078,0.15269
2026-09-02 10:03:54,599.8,22.5156,0.15265
2026-09-02 10:04:04,609.5,22.5156,0.15261
2026-09-02 10:04:14,619.6,22.5156,0.15260
2026-09-02 10:04:24,629.7,22.5000,0.15261
2026-09-02 10:04:34,639.8,22.4921,0.15266
2026-09-02 10:04:44,649.8,22.5156,0.15270
2026-09-02 10:04:54,659.5,22.5234,0.15274
2026-09-02 10:05:04,669.6,22.4921,0.15280
2026-09-02 10:05:14,679.7,22.5156,0.15287
2026-09-02 10:05:24,689.7,22.5078,0.15293
2026-09-02 10:05:34,699.8,22.5156,0.15297
2026-09-02 10:05:44,709.5,22.4921,0.15302
2026-09-02 10:05:54,719.6,22.5000,0.15307
2026-09-02 10:06:04,729.7,22.5156,0.15311
2026-09-02 10:06:14,739.7,22.5000,0.15315
2026-09-02 10:06:24,749.4,22.4921,0.15320
2026-09-02 10:06:34,759.5,22.5156,0.15323
2026-09-02 10:06:44,769.6,22.5000,0.15323
2026-09-02 10:06:54,779.6,22.5078,0.15322
2026-09-02 10:07:04,789.7,22.5234,0.15320
2026-09-02 10:07:14,799.4,22.5000,0.15317
2026-09-02 10:07:24,809.5,22.5234,0.15316
2026-09-02 10:07:34,819.5,22.5156,0.15313
2026-09-02 10:07:44,829.6,22.5156,0.15311
2026-09-02 10:07:53,839.3,22.5078,0.15308
2026-09-02 10:08:04,849.4,22.5234,0.15303
2026-09-02 10:08:14,859.5,22.5000,0.15300
2026-09-02 10:08:24,869.5,22.5078,0.15293
2026-09-02 10:08:34,879.6,22.5078,0.15294
2026-09-02 10:08:43,889.3,22.5000,0.15294
2026-09-02 10:08:54,899.4,22.5234,0.15289
2026-09-02 10:09:04,909.4,22.5156,0.15282
2026-09-02 10:09:14,919.5,22.5156,0.15282
2026-09-02 10:09:24,929.6,22.5312,0.15279
